dag slices	hash rate			cacheHitPercentage
1			114.8105625717566	0.16703125
10			116.48223645894001	0.174296875
100			118.06375442739079	0.1784375
1000		111.0494169905608	0.171953125
10000		118.62396204033216	0.174375
100000		115.07479861910241	0.17734375
1000000		115.34025374855824	0.190234375
2000000		104.54783063251436 	0.05109375

dag slices	hash rate			cacheHitPercentage
1			91.91176470588236 	0.026484375
10			115.60693641618496	0.166171875
100			119.04761904761904	0.164765625
1000		119.61722488038278	0.16515625
10000		115.54015020219526	0.167109375
100000		116.21150493898897	0.171484375
1000000		121.72854534388314	0.190703125
2000000		97.65625			0.0525

dag slices	hash rate			cacheHitPercentage
1			84.24599831508003	0.011640625
10			90.95043201455206	0.02671875
100			91.53318077803203	0.029296875
1000		90.49773755656108	0.02609375
10000		93.37068160597572	0.0271875
100000		91.49130832570907	0.03375
1000000		101.01010101010101	0.0578125
2000000		99.05894006934125	0.05296875

dag slices	hash rate			cacheHitPercentage
1			113.5718341851221	0.15765625
10			84.67400508044031	0.011015625
100			84.88964346349745	0.012109375
1000		86.13264427217916	0.011796875
10000		88.1057268722467	0.01296875
100000		85.68980291345329	0.015234375
1000000		98.0872976949485	0.03734375
2000000		97.9431929480901	0.051328125

dag slices	hash rate			cacheHitPercentage
1			157.10919088766693	0.395625
10			114.94252873563218	0.157421875
100			116.68611435239207	0.1546875
1000		114.87650775416428	0.151171875
10000		115.87485515643107	0.155625
100000		113.96011396011396	0.15734375
1000000		121.8026796589525	0.183125
2000000		98.66798223976319	0.05
